_header,_axes,_buttons,timestamp
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529110, nanosec=26379468), frame_id='joy')","array('f', [-0.0, 0.02943510189652443, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529110026864786
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529110, nanosec=34402023), frame_id='joy')","array('f', [-0.0, 0.1666920930147171, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529110034816805
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529110, nanosec=37952762), frame_id='joy')","array('f', [-0.0, 0.3039490878582001, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529110038223545
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529110, nanosec=41455717), frame_id='joy')","array('f', [-0.0, 0.4706183075904846, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529110041757973
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529110, nanosec=46125648), frame_id='joy')","array('f', [-0.0, 0.5980712175369263, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529110046483611
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529110, nanosec=54280245), frame_id='joy')","array('f', [-0.0, 0.7157200574874878, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529110054644675
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529110, nanosec=57800949), frame_id='joy')","array('f', [-0.0, 0.7941526770591736, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529110058153585
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529110, nanosec=61363041), frame_id='joy')","array('f', [-0.0, 0.9608218669891357, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529110061778624
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529110, nanosec=66022659), frame_id='joy')","array('f', [-0.0, 1.0, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529110066382173
"std_msgs.msg.Header(stamp=builtin_interfaces.msg.Time(sec=1741529111, nanosec=577652992), frame_id='joy')","array('f', [-0.0, 0.8431730270385742, -0.0, -0.0, 1.0, 1.0, 0.0, 0.0])","array('i', [0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0])",1741529111578070623
