_linear,_angular,timestamp
"geometry_msgs.msg.Vector3(x=0.005887020379304886, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529110027174213
"geometry_msgs.msg.Vector3(x=0.03333841860294342, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529110035060533
"geometry_msgs.msg.Vector3(x=0.060789817571640016, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529110038533517
"geometry_msgs.msg.Vector3(x=0.09412366151809692, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529110042084660
"geometry_msgs.msg.Vector3(x=0.11961424350738525, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529110046708996
"geometry_msgs.msg.Vector3(x=0.14314401149749756, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529110055008332
"geometry_msgs.msg.Vector3(x=0.15883053541183473, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529110058883744
"geometry_msgs.msg.Vector3(x=0.19216437339782716, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529110061951471
"geometry_msgs.msg.Vector3(x=0.2, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529110066637576
"geometry_msgs.msg.Vector3(x=0.16863460540771485, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529111578323957
"geometry_msgs.msg.Vector3(x=0.14314401149749756, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529111581883938
"geometry_msgs.msg.Vector3(x=0.10981017351150513, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529111586527810
"geometry_msgs.msg.Vector3(x=0.060789817571640016, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529111594628133
"geometry_msgs.msg.Vector3(x=0.007847834378480911, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529111598301231
"geometry_msgs.msg.Vector3(x=-0.0, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529111603024362
"geometry_msgs.msg.Vector3(x=0.02941679060459137, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529112205504166
"geometry_msgs.msg.Vector3(x=0.05882900357246399, y=-0.0, z=0.4)","geometry_msgs.msg.Vector3(x=0.0, y=0.0, z=-0.0)",1741529112214265788
